%  label: Fitness-sharing, 17/03/26 02-06-08
%  population_size: 2048
%  mutation_rate: 0.45
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuck_rate: 0.15
%  threads: 4
%  num_demes: 1
%  migration: 0.05
%  use_viscosity: true
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: true
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
121,0,0.13085938,0.5759053,0.66569924,0.3200001,0.48,0.25,0,0.3200001,0.48,0,16.206543,13,0.90234375
122,0,0.13183594,0.5752513,0.6657041,0.3200001,0.48,0.24875621,0,0.3200001,0.48,0,16.197754,13,0.90185547
123,0,0.1328125,0.57508844,0.6657041,0.3200001,0.48,0.24875621,0,0.3200001,0.48,0,16.214355,13,0.90185547
124,0,0.13378906,0.5744417,0.66570884,0.3200001,0.48,0.24752475,0,0.3200001,0.48,0,16.214355,13,0.9013672
125,0,0.13427734,0.5738013,0.6657136,0.3200001,0.48,0.24630542,0,0.3200001,0.48,0,16.212402,13,0.9008789
126,0,0.13720703,0.57316715,0.6657183,0.3200001,0.48,0.24509804,0,0.3200001,0.48,0,16.19873,13,0.9003906
127,0,0.1381836,0.5719174,0.66572756,0.3200001,0.48,0.24271844,0,0.3200001,0.48,0,16.19629,13,0.89941406
128,0,0.13916016,0.57393193,0.66573215,0.3200001,0.48,0.24637681,0,0.3200001,0.48,0,16.192871,13,0.8989258
129,0,0.14013672,0.5726928,0.6657411,0.3200001,0.48,0.24401914,0,0.3200001,0.48,0,16.196777,13,0.8979492
130,0,0.140625,0.5720821,0.66574556,0.3200001,0.48,0.24285714,0,0.3200001,0.48,0,16.196777,13,0.89746094
131,0,0.14160156,0.5714772,0.6657499,0.3200001,0.48,0.24170616,0,0.3200001,0.48,0,16.205566,13,0.89697266
132,0,0.14257813,0.57028437,0.6657586,0.3200001,0.48,0.23943663,0,0.3200001,0.48,0,16.22998,13,0.8959961
133,1,0.14355469,0.5696472,0.6657671,0.3200001,0.48,0.2372093,0,0.3200001,0.48,0,16.237793,13,0.89501953
134,1,0.14453125,0.5691161,0.66577125,0.3200001,0.48,0.2361111,0,0.3200001,0.48,0,16.213867,13,0.89453125
135,1,0.14550781,0.56906533,0.6657754,0.3200001,0.48,0.23502304,0,0.3200001,0.48,0,16.200195,13,0.89404297
136,1,0.1484375,0.5723733,0.66581404,0.3200001,0.48,0.24200913,0,0.3200001,0.48,0,16.1875,13,0.8930664
137,1,0.14892578,0.57422215,0.6658218,0.3200001,0.48,0.24434389,0,0.3200001,0.48,0,16.185059,13,0.89208984
138,1,0.14941406,0.5735726,0.6658294,0.3200001,0.48,0.24215247,0,0.3200001,0.48,0,16.185547,13,0.8911133
139,1,0.15039063,0.57536757,0.66583693,0.3200001,0.48,0.24444444,0,0.3200001,0.48,0,16.173828,13,0.8901367
140,1,0.15136719,0.57910883,0.66584426,0.3200001,0.48,0.25110132,0,0.3200001,0.48,0,16.166504,13,0.88916016
141,1,0.15234375,0.5795151,0.6658479,0.3200001,0.48,0.25,0,0.3200001,0.48,0,16.165527,13,0.8886719
142,1,0.15332031,0.5799177,0.66585153,0.3200001,0.48,0.2489083,0,0.3200001,0.48,0,16.167969,13,0.8881836
143,1,0.15429688,0.5792413,0.6658586,0.3200001,0.48,0.24675325,0,0.3200001,0.48,0,16.175781,13,0.88720703
144,1,0.15527344,0.5804444,0.6658656,0.3200001,0.48,0.24892704,0,0.3200001,0.48,0,16.182617,13,0.88623047
145,1,0.15576172,0.58093214,0.6658656,0.3200001,0.48,0.24892704,0,0.3200001,0.48,0,16.175781,13,0.88623047
146,1,0.15673828,0.58083904,0.66586906,0.3200001,0.48,0.24786325,0,0.3200001,0.48,0,16.180176,13,0.8857422
147,1,0.15771484,0.5812259,0.66587245,0.3200001,0.48,0.24680851,0,0.3200001,0.48,0,16.160156,13,0.8852539
148,1,0.1586914,0.5811955,0.66587245,0.3200001,0.48,0.24680851,0,0.3200001,0.48,0,16.159668,13,0.8852539
149,1,0.16015625,0.5805254,0.6658792,0.3200001,0.48,0.24472573,0,0.3200001,0.48,0,16.163086,13,0.88427734
150,1,0.16113281,0.5803376,0.6658858,0.3200001,0.48,0.24267782,0,0.3200001,0.48,0,16.166504,13,0.8833008
151,1,0.16210938,0.5797534,0.66589236,0.3200001,0.48,0.2406639,0,0.3200001,0.48,0,16.151855,13,0.8823242
152,1,0.16308594,0.5796682,0.6658956,0.3200001,0.48,0.23966943,0,0.3200001,0.48,0,16.159668,13,0.88183594
153,1,0.16503906,0.57780915,0.6658713,0.3200001,0.48,0.2345679,0,0.3200001,0.48,0,16.17627,13,0.88134766
154,1,0.16796875,0.57943386,0.6658779,0.3200001,0.48,0.23673469,0,0.3200001,0.48,0,16.19043,13,0.8803711
155,1,0.16894531,0.5798069,0.6658811,0.3200001,0.48,0.23577236,0,0.3200001,0.48,0,16.193848,13,0.8798828
156,1,0.16992188,0.5813879,0.6658875,0.3200001,0.48,0.23790322,0,0.3200001,0.48,0,16.201172,13,0.87890625
157,1,0.171875,0.58129853,0.66589063,0.3200001,0.48,0.23694779,0,0.3200001,0.48,0,16.206055,13,0.87841797
158,1,0.17382813,0.5808899,0.6658937,0.3200001,0.48,0.236,0,0.3200001,0.48,0,16.211914,13,0.8779297
159,1,0.17480469,0.5807089,0.6658999,0.3200001,0.48,0.23412699,0,0.3200001,0.48,0,16.205566,13,0.8769531
160,1,0.17675781,0.57970846,0.66590595,0.3200001,0.48,0.23228346,0,0.3200001,0.48,0,16.216309,13,0.87597656
161,1,0.17773438,0.5791593,0.66590893,0.3200001,0.48,0.23137255,0,0.3200001,0.48,0,16.200195,13,0.8754883
162,1,0.1796875,0.57855725,0.6659149,0.3200001,0.48,0.22957198,0,0.3200001,0.48,0,16.195313,13,0.8745117
163,1,0.18115234,0.57802737,0.66592073,0.3200001,0.48,0.22779922,0,0.3200001,0.48,0,16.197754,13,0.87353516
164,1,0.1821289,0.5795064,0.66592646,0.3200001,0.48,0.22988506,0,0.3200001,0.48,0,16.205078,13,0.8725586
165,1,0.1821289,0.57985836,0.6659293,0.3200001,0.48,0.22900763,0,0.3200001,0.48,0,16.209473,13,0.8720703
166,1,0.1850586,0.5798416,0.6659321,0.3200001,0.48,0.22813688,0,0.3200001,0.48,0,16.213379,13,0.87158203
167,1,0.18603516,0.5813363,0.6659377,0.3200001,0.48,0.23018868,0,0.3200001,0.48,0,16.224121,13,0.87060547
168,1,0.18701172,0.5826891,0.6659432,0.3200001,0.48,0.23220974,0,0.3200001,0.48,0,16.22705,13,0.8696289
169,1,0.18798828,0.5821482,0.6659486,0.3200001,0.48,0.23048328,0,0.3200001,0.48,0,16.217285,13,0.86865234
170,1,0.18896484,0.58357453,0.665954,0.3200001,0.48,0.23247233,0,0.3200001,0.48,0,16.21289,13,0.8676758
171,1,0.18945313,0.58649135,0.66595924,0.3200001,0.48,0.23809524,0,0.3200001,0.48,0,16.201172,13,0.8666992
172,1,0.19042969,0.58838296,0.6659618,0.3200001,0.48,0.24087591,0,0.3200001,0.48,0,16.220703,13,0.86621094
173,1,0.19238281,0.58845013,0.6659618,0.3200001,0.48,0.24087591,0,0.3200001,0.48,0,16.22168,13,0.86621094
174,1,0.19335938,0.58845395,0.6659618,0.3200001,0.48,0.24087591,0,0.3200001,0.48,0,16.234863,13,0.86621094
